Taxa de aprendizado,# neurônios,# Iterações,Acurácia,,,"0.9, 100",,,"0.05, 100",
0.9,33,100,0.2086956522,,,33,0.2086956522,,33,0.302173913
0.9,33,1000,0.2086956522,,,50,0.1434782609,,50,0.2688405797
0.9,33,10000,0.2086956522,,,100,0.2355072464,,100,0.2239130435
0.9,50,100,0.1434782609,,,"0.9, 1000",,,"0.05,1000",
0.9,50,1000,0.1434782609,,,33,0.2086956522,,33,0.302173913
0.9,50,10000,0.1434782609,,,50,0.1434782609,,50,0.2688405797
0.9,100,100,0.2355072464,,,100,0.2355072464,,100,0.2239130435
0.9,100,1000,0.2355072464,,,"0.9, 10000",,,"0.05, 10000",
0.9,100,10000,0.2355072464,,,33,0.2086956522,,33,0.302173913
0.05,33,100,0.302173913,,,50,0.1434782609,,50,0.2688405797
0.05,33,1000,0.302173913,,,100,0.2355072464,,100,0.2239130435
0.05,33,10000,0.302173913,,,,,,,
0.05,50,100,0.2688405797,,,,,"0.008, 100",,
0.05,50,1000,0.2688405797,,,,,33,0.3173913043,
0.05,50,10000,0.2688405797,,,,,50,0.3173913043,
0.05,100,100,0.2239130435,,,,,100,0.2739130435,
0.05,100,1000,0.2239130435,,,,,"0.008, 1000",,
0.05,100,10000,0.2239130435,,,,,33,0.3123188406,
0.008,33,100,0.3173913043,,,,,50,0.3173913043,
0.008,33,1000,0.3123188406,,,,,100,0.2739130435,
0.008,33,10000,0.3123188406,,,,,"0.008, 10000",,
0.008,50,100,0.3173913043,,,,,33,0.3123188406,
0.008,50,1000,0.3173913043,,,,,50,0.3173913043,
0.008,50,10000,0.3173913043,,,,,100,0.2739130435,
0.008,100,100,0.2739130435,,,,,,,
0.008,100,1000,0.2739130435,,,,,,,
0.008,100,10000,0.2739130435,,,,,,,
,,,,,,,,,,
melhor configuracao de params,,,,,,,,,,
l_rate, n_neurons, it, best_acc,,,,,,,
0.008,33,100,0.3173913043,,,,,,,
0,0.368956044,,,,,,,,,
1,0.2647435897,,,,,,,,,
2,0.2909340659,,,,Método,Taxa de acerto,Desvio Padão 10-fold,,,
3,0.3505494505,,,,K-NN,53.00%,0.3377,,,
4,0.2999084249,,,,AD,33.96%,0.0675,,,
5,0.3141941392,,,,NB,32.07%,0.0704,,,
6,0.268956044,,,,MLP,48.00%,0.3718,,,
7,0.3356227106,,,,,,,,,
8,0.1987179487,,,,,,,,,
9,0.2665750916,,,,,,,,,
10,0.3576007326,,,,,,,,,
11,0.2898351648,,,,,,,,,
12,0.2981684982,,,,,0.4772893773,,,,
13,0.2546703297,,,,,,,,,
14,0.4242673993,,,,,,,,,
15,0.2112637363,,,,,,,,,
16,0.3999084249,,,,,,,,,
17,0.2558608059,,,,,,,,,
18,0.363003663,,,,,,,,,
19,0.196978022,,,,,,,,,
20,0.2999084249,,,,,,,,,
21,0.2933150183,,,,,,,,,
22,0.2832417582,,,,,,,,,
23,0.2838827839,,,,,,,,,
24,0.3683150183,,,,,,,,,
25,0.4772893773,,,,,,,,,
26,0.0243589744,,,,,,,,,
27,0.2343406593,,,,,,,,,
28,0.4242673993,,,,,,,,,
29,0.304029304,,,,,,,,,
Media,Desvio Padrão,Melhor Resultado,,,,,,,,
0.3001221001,0.0837027841,0.4772893773,,,,,,,,
